PROVINCE	GENDER	RACE	AGE	AREATYPE	HHSIZE	HHEXPENDITURE	HHINCOME
EC	Female	BLACK	22	1	2	18675.37	17089.8
WC	Male	COLOURED	63	1	2	19615.78	20365.39
EC	Male	BLACK	35	1	3	24653.62	24751.26
EC	Female	COLOURED	49	2	7	20402.55	22780.69
EC	Male	BLACK	21	1	3	20410.74	18716.14
WC	Female	COLOURED	42	1	4	22524.18	22264.18
WC	Male	COLOURED	39	2	8	19607.33	20376.42
WC	Male	COLOURED	25	1	3	23545.1	23738.02
WC	Male	COLOURED	54	1	4	19993.45	20303.58
WC	Female	BLACK	32	1	1	19386.98	19922.97
EC	Male	BLACK	47	2	2	22675.63	24589.58
EC	Male	BLACK	33	1	2	19691.72	22557.88
WC	Male	COLOURED	42	1	1	26491.01	25848.43
WC	Male	BLACK	44	2	5	24018.96	22221.16
EC	Female	BLACK	51	2	4	24652.8	24098.86
WC	Female	WHITE	47	2	2	24115.48	24587.75
WC	Male	COLOURED	54	1	8	22149.77	20489.48
WC	Male	COLOURED	63	1	7	21939.68	23503.4
WC	Male	BLACK	53	1	5	19815.37	20723.69
EC	Female	COLOURED	64	2	2	20218.74	20010.25
EC	Male	BLACK	48	1	4	20717.62	15784.26
EC	Female	BLACK	45	2	4	22594.16	19881.43
EC	Male	BLACK	33	1	2	21355.33	17323.61
WC	Male	COLOURED	57	1	4	19592.05	22409.75
WC	Female	COLOURED	34	1	1	20149.39	19772.35
EC	Female	BLACK	39	1	3	20668.39	19746.72
EC	Female	BLACK	25	2	6	22062.44	21497.57
WC	Male	COLOURED	59	1	2	22217.8	18479.41
WC	Male	WHITE	40	1	4	24147.4	25356.33
EC	Female	BLACK	30	1	6	22042.36	16381.34
WC	Female	COLOURED	64	1	1	19934.98	20550.19
EC	Female	BLACK	37	1	1	19015.23	20663.29
WC	Male	COLOURED	38	1	3	27555.34	27094.03
EC	Male	WHITE	52	2	2	30030.44	30519.71
EC	Male	COLOURED	63	2	3	25427.68	25689.3
WC	Male	BLACK	30	2	7	22036.08	22743.52
WC	Female	COLOURED	45	1	6	21007.24	21013.57
EC	Female	BLACK	44	1	3	19439.21	19337.73
EC	Male	COLOURED	50	1	3	20403.25	21974.32
WC	Female	COLOURED	47	1	8	22223.72	25386.37
WC	Female	COLOURED	65	2	2	18248.32	21463.35
WC	Male	COLOURED	51	2	4	20717.79	22763.29
EC	Male	BLACK	45	1	5	21663.58	21105.55
WC	Male	COLOURED	42	2	5	21100.77	22096.82
WC	Male	BLACK	45	1	3	21956.96	23020.94
WC	Male	BLACK	25	1	4	22903.55	23216.11
WC	Female	WHITE	57	1	3	27827.06	27422.84
EC	Male	BLACK	32	2	2	21292.41	20738.76
EC	Male	COLOURED	38	2	5	21171.55	23474.06
WC	Male	BLACK	39	1	4	19695.3	20421.29
WC	Male	BLACK	30	1	3	21332.28	21323.21
EC	Male	COLOURED	65	1	9	21821.41	24247.1
WC	Male	COLOURED	30	1	4	25405.07	22452.96
EC	Male	BLACK	60	2	4	21766.62	17554.07
EC	Female	BLACK	64	1	2	19726.07	21433.86
EC	Male	BLACK	50	2	2	18127.43	21421.94
EC	Female	BLACK	28	2	3	20004.4	14821.96
WC	Male	BLACK	41	1	6	20944.57	23660.01
WC	Male	COLOURED	64	1	1	17746.9	20038.14
EC	Male	WHITE	30	2	1	23238.23	24337.14
WC	Male	COLOURED	23	1	2	20233.72	17101.44
WC	Male	COLOURED	43	2	2	21327.81	19944.46
EC	Female	BLACK	29	2	6	21489.98	22366.81
WC	Male	COLOURED	42	2	5	22078.56	22694.66
EC	Female	BLACK	41	1	3	22034.99	21492.72
EC	Male	BLACK	42	1	2	17480.24	19077.74
WC	Male	BLACK	36	1	1	20084.89	21947.9
EC	Female	BLACK	61	2	6	20268.61	21615.52
EC	Male	BLACK	25	2	2	18975.36	21127.84
EC	Female	BLACK	34	1	3	19978.35	19342.98
EC	Male	BLACK	24	1	8	20538.58	19093.35
EC	Male	BLACK	50	1	7	21426.74	22101.99
WC	Male	BLACK	42	1	1	21836.17	21534.31
WC	Female	COLOURED	32	1	3	19881.68	22195
EC	Female	BLACK	60	1	5	24486.21	24070.07
EC	Male	BLACK	56	1	4	20776.27	20657.39
WC	Male	BLACK	36	2	2	20855.61	22852.35
EC	Female	BLACK	62	2	6	21245.35	22136.36
WC	Male	COLOURED	24	1	5	22281.62	24059.27
EC	Female	COLOURED	65	1	5	20390.31	19347.59
EC	Female	BLACK	23	2	5	20041.26	21163.57
EC	Male	BLACK	59	2	1	20225.12	19972.62
EC	Female	BLACK	57	2	2	21001.66	19945.89
EC	Male	BLACK	53	1	6	21176.27	21138.69
